Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03,178.87989807128906,170.4044952392578,144.3015899658203,325.6347961425781,399.9266662597656,179.7349465415521,170.70350646972656,145.1569973040858,328.79629901774877,400.3566589355469,174.65385883537695,166.16050720214844,143.0291700315321,320.80012748139205,378.67999267578125,174.77179035001552,167.5500030517578,144.36477967492633,326.21846414915797,382.5833435058594,104487900,63520000,28646000,28865100,103931400
2022-01-04,176.609619140625,167.52200317382812,143.71243286132812,320.0511169433594,383.1966552734375,179.7939048717263,171.39999389648438,145.78800478376272,326.07256655416444,402.6666564941406,176.0395918494563,166.34950256347656,143.03268400586742,317.239796956852,374.3500061035156,179.48923847391032,170.43800354003906,144.7041819007758,325.7126166614886,396.51666259765625,99310400,70726000,28400000,32674300,100248300
2022-01-05,171.91184997558594,164.35699462890625,137.11944580078125,307.7650146484375,362.7066650390625,177.07156425536837,167.12649536132812,143.81195246481798,317.1911594657353,390.11334228515625,171.6366664137079,164.35699462890625,137.03286935371747,307.3759125385984,360.336669921875,176.5211971316123,166.88299560546875,143.73283243513856,316.9868563666347,382.2166748046875,94537600,64302000,54618000,40054300,80119800
2022-01-06,169.04209899902344,163.25399780273438,137.09207153320312,305.3330993652344,354.8999938964844,172.28535157211834,164.8000030517578,139.2741441048197,310.0218586119927,362.6666564941406,168.6882893547516,161.93699645996094,135.9087336140623,303.0081644576789,340.1666564941406,169.730058030557,163.45050048828125,136.34664244900424,304.62296646871727,359.0,96904000,51958000,37348000,39646100,90336600
2022-01-07,169.20913696289062,162.5540008544922,136.3650665283203,305.4887390136719,342.32000732421875,171.14525945761193,165.24349975585938,137.789758680502,307.8817452139908,360.30999755859375,168.08874249862777,162.031005859375,135.12051292870675,301.64628513715576,336.6666564941406,169.91675609783337,163.83900451660156,137.4881913750815,305.5957294780859,360.1233215332031,86709100,46606000,29760000,32720000,84164700
2022-01-10,169.22879028320312,161.48599243164062,138.00967407226562,305.71240234375,352.7066650390625,169.53345670452697,161.6614990234375,138.15896945033379,306.1501606970923,353.0333251953125,165.27791944101605,156.30450439453125,132.53087842354833,296.3932792591058,326.6666564941406,166.1722734494287,160.5854949951172,134.43527149606194,301.0625631573698,333.3333435058594,106765600,87798000,44408000,44289500,91815000
2022-01-11,172.069091796875,165.36199951171875,139.07110595703125,306.4031066894531,354.79998779296875,172.1673630652104,166.35000610351562,139.54883297337483,307.9886968599788,358.6166687011719,167.88235785704865,160.70150756835938,136.0420998146872,301.45171092918275,346.2733459472656,169.35656184948618,161.5,137.35034411747029,304.84666874501306,351.22332763671875,76138300,62806000,28730000,29386800,66063300
2022-01-12,172.5113525390625,165.20700073242188,140.75753784179688,309.603515625,368.739990234375,174.13297095610363,166.8780059814453,141.9294404967946,314.60356797191446,371.61334228515625,171.8135710369917,164.41700744628906,140.02504742905134,308.4459168812307,357.5299987792969,173.09120251884048,166.5749969482422,140.4783702161075,310.96541745526014,359.6166687011719,74805200,50030000,26108000,34372200,83739000
2022-01-13,169.22879028320312,161.21400451660156,137.92759704589844,296.5003356933594,343.85333251953125,173.5825988136433,166.22149658203125,142.17031382113908,312.14249663836586,371.8666687011719,168.83566022635117,161.09100341796875,137.75043499457064,295.72213143264617,342.17999267578125,172.7570481888216,165.25050354003906,140.86653415436,311.7436573066087,369.69000244140625,84505800,52188000,31436000,45366000,97209900
2022-01-14,170.09365844726562,162.13800048828125,138.8168182373047,301.75323486328125,349.8699951171875,170.7914399169012,162.25,140.07232082607686,302.3563474514455,350.6666564941406,168.1476984416165,159.80050659179688,136.3466335227671,295.47885713346886,337.7933349609375,168.3933990992247,160.14999389648438,136.426740644181,295.9652420834828,339.9599914550781,80440800,45974000,29662000,39846400,72924300
2022-01-18,166.8798828125,158.91749572753906,135.35089111328125,294.40887451171875,343.5033264160156,169.5727523119223,159.7344970703125,136.47899680734477,301.364175018183,356.92999267578125,166.4965904021834,157.6645050048828,134.79405929684148,293.5236501292104,338.6866760253906,168.5604668437431,159.10499572753906,135.52705085012096,295.7902211612541,342.2033386230469,90956700,67292000,34872000,42333200,66743400
2022-01-19,163.3712921142578,156.2989959716797,134.47357177734375,295.0703125,331.8833312988281,168.13789130970082,159.25,137.30304614971584,305.36223577548463,351.5566711425781,163.0862859235723,156.25,134.3730544341274,294.4574923336944,331.6666564941406,167.07646257144611,158.76199340820312,135.8738744968842,297.9497330886086,347.2366638183594,94815000,53242000,28648000,45933900,75442500
2022-01-20,161.6808624267578,151.66749572753906,132.67318725585938,293.387451171875,332.0899963378906,166.76195044943782,158.0,136.97115074107518,303.1637782382463,347.2200012207031,161.3565357449214,151.3509979248047,132.3318170208066,292.9399852639337,331.3333435058594,164.10838623013277,156.76600646972656,135.60169102059876,300.6540445871307,336.57666015625,91420500,71974000,29908000,35380700,70488600
2022-01-21,159.6169891357422,142.64300537109375,129.73126220703125,287.9691162109375,314.6333312988281,163.46957389675498,150.89999389648438,134.22377601264574,295.82908513910786,334.8500061035156,159.50888023954428,142.07049560546875,129.46752373899022,287.56053972855347,313.5,161.59241715203612,149.9499969482422,131.96259868346377,294.44776829500927,332.11334228515625,122848900,163972000,55652000,57984400,103416000
2022-01-24,158.84056091308594,144.54400634765625,130.18161010742188,288.2998962402344,310.0,159.50887451917274,144.94500732421875,130.5787136535352,289.01973668057565,311.1700134277344,152.0395683138979,135.3520050048828,123.90760490884027,268.53319886975106,283.8233337402344,157.26808565686596,139.0,125.37856914011597,284.24346117552335,301.586669921875,162294600,155624000,76622000,85731500,151565700
2022-01-25,157.03219604492188,139.98599243164062,126.33101654052734,280.6344299316406,306.1333312988281,159.960943553215,143.60000610351562,128.78329685194453,286.9574354302845,317.086669921875,154.31966630533267,138.14500427246094,125.8985899276899,277.40485583875466,301.07000732421875,156.24595097657829,142.24249267578125,128.12743590180497,283.5819220766219,304.73333740234375,115798400,90824000,46960000,72848600,86595900
2022-01-26,156.94375610351562,138.87249755859375,128.61807250976562,288.6305847167969,312.4700012207031,161.56292551584528,145.18499755859375,132.3671462984334,300.09955158053,329.2300109863281,155.1059199641222,137.31849670410156,126.53701871024086,285.05079816308023,302.0,160.6882317654177,144.75,130.49509993814254,299.6034293699441,317.4766540527344,108275300,95602000,49130000,90428900,104867400
2022-01-27,156.48184204101562,139.6374969482422,128.39117431640625,291.67535400390625,276.3666687011719,161.02238556956317,144.24349975585938,132.02131030726912,298.932209910728,311.7966613769531,155.55800513342504,139.35000610351562,128.31900956615908,289.8173597366347,276.3333435058594,159.65629046052865,140.8000030517578,130.6792312241268,294.4185725358936,311.1199951171875,121954600,77516000,31950000,53481300,147109500
2022-01-28,167.40081787109375,143.97799682617188,132.71649169921875,299.86614990234375,282.1166687011719,167.42047812785933,143.9980010986328,132.72197391207828,300.080160532773,285.8333435058594,160.00031331715783,137.92950439453125,127.87364760924652,286.43219588020236,264.0033264160156,162.8602733230772,140.86050415039062,129.04205751284695,292.05480642156255,277.1866760253906,179935700,74392000,34362000,49743700,134789100
2022-01-31,171.7742462158203,149.57350158691406,134.65968322753906,302.5119934082031,312.239990234375,171.9904639988434,150.36050415039062,134.82838653701774,303.873865327371,312.663330078125,166.59487204384064,144.30050659179688,131.58041122678554,298.02750874375795,287.3500061035156,167.23370276509192,144.75,133.52362004644357,300.5372717037643,290.9033203125,115541600,78308000,39986000,46444500,104436000
2022-02-01,171.60719299316406,151.19349670410156,136.98904418945312,300.3525695800781,310.4166564941406,171.83323343223077,151.70799255371094,137.1373372663733,302.1716453048645,314.5666809082031,169.3467436133565,147.62750244140625,133.7291325897689,296.82140861474267,301.6666564941406,171.0175053301255,150.0,136.93978021182596,301.9576346497959,311.7366638183594,86213900,59220000,68644000,40950400,73138200
2022-02-02,172.81602478027344,150.6125030517578,147.29579162597656,304.9245300292969,301.88665771484375,172.8553452866124,155.0749969482422,150.82541035596324,306.53933207840674,310.5,170.34919537896823,148.86349487304688,144.83008666091592,300.4692557003281,296.4700012207031,171.74477342641566,155.05050659179688,150.5303275907362,301.19883332986984,309.3933410644531,84914300,87330000,123200000,36636000,66792900
2022-02-03,169.92657470703125,138.8455047607422,142.4091339111328,293.0469970703125,297.0466613769531,173.20914700397037,144.24749755859375,148.96280731193713,302.7552535027513,312.3333435058594,169.1599898283705,138.33299255371094,141.98665428742234,291.79211531003233,293.50665283203125,171.47940471663034,141.7375030517578,145.0121976171074,301.06261331619567,294.0,89418100,225532000,71518000,43730000,78855600
2022-02-04,169.6411895751953,157.63949584960938,142.61119079589844,297.6092529296875,307.7733459472656,171.3239297234003,161.1999969482422,144.18566414382084,300.3913608497898,312.1666564941406,167.95844942699028,150.60800170898438,139.84640903651453,291.80181490555054,293.72332763671875,168.94250412955896,155.60650634765625,142.7619744324609,292.0352702032978,299.0733337402344,82465400,253456000,57998000,35096500,73625400
2022-02-07,168.9228515625,157.9355010986328,138.5386505126953,292.7551574707031,302.4466552734375,171.1763304609041,162.6909942626953,143.56362208702555,299.4575276563962,315.92333984375,168.22416604358875,157.25,138.23907266305054,291.73373110957107,300.9033203125,170.1037143263292,158.52000427246094,143.56362208702555,297.8330183026639,307.92999267578125,77251200,102624000,54974000,28533300,60994500
2022-02-08,172.04229736328125,161.4134979248047,138.7357177734375,296.266845703125,307.3333435058594,172.55401004838063,161.79249572753906,139.33385604729077,297.2396157585428,308.7633361816406,168.69650213361186,155.55050659179688,136.36207147851567,291.7823899972102,298.26666259765625,168.9917215679186,156.75050354003906,138.36499262195844,293.0469791946189,301.84332275390625,74829200,76040000,54284000,32421200,50729100
2022-02-09,173.4691925048828,161.1894989013672,140.91827392578125,302.73583984375,310.6666564941406,173.83328800439335,163.83450317382812,141.8463472422032,303.43623565436957,315.42333984375,172.1111919697569,160.25,139.51996039462585,299.0198798215959,306.6666564941406,173.24286408752374,162.87350463867188,140.2927701568597,301.43233119082356,311.6666564941406,71285000,68786000,40144000,31284700,52259400
2022-02-10,169.37551879882812,159.0034942626953,137.96041870117188,294.14617919921875,301.51666259765625,172.68194375053233,160.7165069580078,140.81129088948327,300.7026390949377,314.60333251953125,168.8146153330359,157.75,137.30057895120314,292.5119328248421,298.8999938964844,171.36331383328056,158.35000610351562,139.03877453098843,295.76098086196566,302.7900085449219,90865900,68268000,39330000,45386200,66126900
2022-02-11,165.95098876953125,153.2935028076172,133.64356994628906,287.0060729980469,286.6666564941406,170.32019416538782,159.0,138.4943718586001,296.0041956198733,305.32000732421875,165.3605499263947,152.73399353027344,132.7652616913773,286.20839446246674,283.5666809082031,169.5821531192089,158.13450622558594,137.94053165428735,294.9341426680689,303.2099914550781,98670700,77100000,39958000,39175600,79645800
2022-02-14,166.18719482421875,155.16700744628906,134.8811492919922,286.9671936035156,291.9200134277344,166.8760302449342,158.44850158691406,135.65146855696324,288.6792785633671,299.6266784667969,163.90418026929203,151.64999389648438,132.62244716175653,283.4165885013323,284.3833312988281,164.70126232865465,151.75100708007812,132.62244716175653,285.7706756345391,287.19000244140625,86185500,83230000,34302000,36359500,67756500
2022-02-15,170.03482055664062,156.510498046875,135.95849609375,292.2882385253906,307.4766540527344,170.19227292675632,158.0070037841797,137.45135880950014,292.60923960221265,307.6666564941406,167.5353279968633,154.6374969482422,135.17523823760737,288.9321697438567,297.7933349609375,168.24384864689935,157.60549926757812,136.91590911778226,291.84077258338215,300.0,62527400,56440000,26680000,27058300,57286200
2022-02-16,169.79864501953125,158.10049438476562,137.08261108398438,291.9470520019531,307.7966613769531,170.57604164188683,158.83399963378906,137.42894718548806,293.2824978641233,308.80999755859375,167.3385082183659,154.7344970703125,134.28199030422422,286.27381667328723,300.4033203125,169.10980971830162,155.79049682617188,135.99629781778847,290.8455441746245,304.6833190917969,61177400,52704000,25022000,29982100,51294300
2022-02-17,166.18719482421875,154.65249633789062,131.90835571289062,283.3982238769531,292.1166687011719,169.1688799431976,160.3489990234375,136.461082812284,289.31512471612086,306.1666564941406,165.7837287151261,154.5,131.84814248998057,282.6866227036371,291.3666687011719,168.3029068340204,158.14599609375,135.59472615306703,288.88621849493984,304.4200134277344,69589300,64032000,38950000,32461600,55178400
2022-02-18,164.6323699951172,152.60150146484375,129.7825164794922,280.6687927246094,285.6600036621094,167.82069791691148,155.49949645996094,133.43207557532537,286.44923910919783,295.6233215332031,163.54006857345092,150.89300537109375,129.5770018418038,279.0896516648839,279.2033386230469,167.1121922796674,155.49949645996094,132.83193274174764,285.65966857933506,295.3333435058594,82772700,63604000,45620000,34264000,68501700
2022-02-22,161.69989013671875,150.19749450683594,129.19583129882812,280.464111328125,273.84332275390625,164.03209518170536,152.9824981689453,131.5515578787969,284.1877834917161,285.57666015625,159.5644780309518,148.48550415039062,127.61338526044253,277.32531396607703,267.0333251953125,162.3493548856938,150.47850036621094,129.22020512579672,277.812704676035,278.0433349609375,91162800,66128000,44990000,41736100,83288100
2022-02-23,157.5176544189453,144.82699584960938,126.98091125488281,273.2020568847656,254.67999267578125,163.50069421366558,151.76300048828125,131.42267296291416,284.3438343460479,278.4333190917969,157.20274968475783,144.6510009765625,126.92069803114178,273.03636065430806,253.52000427246094,162.90042020266935,151.65049743652344,131.02209177354695,282.8621471204411,276.80999755859375,90009200,64244000,32786000,37811200,95256900
2022-02-24,160.1450958251953,151.35800170898438,132.05960083007812,287.1608581542969,266.92333984375,160.25334246210673,151.74899291992188,132.36713620238737,287.71649070941305,267.49334716796875,149.5763410580208,139.5,124.3589233079931,264.67264340429557,233.3333282470703,150.14709468760051,139.83749389648438,124.3589233079931,265.6376972494891,233.4633331298828,141147500,100786000,54456000,56989700,135322200
2022-02-25,162.22145080566406,153.7884979248047,133.81971740722656,289.8122863769531,269.9566650390625,162.48713480856267,153.99000549316406,134.62785022225833,290.12422359753356,273.1666564941406,158.30490162446958,149.2135009765625,131.12459484875018,284.2950194983155,260.79998779296875,161.22754578023935,150.5500030517578,132.9165342626019,287.69702717357785,269.74334716796875,91974200,62396000,36406000,32546700,76067700
